Rank,Player,Rank Rating,Tier,Wins
1,LEVerde#expug,993,Radiant,69
2,FURIAmwzera#2001,983,Radiant,50
3,UNIONpancc#vcpnd,961,Radiant,73
4,polloesponja#gary,957,Radiant,67
5,lz7#lza,932,Radiant,56
7,tsunaza#pudim,909,Radiant,51
8,XITgobera9#lyou,909,Radiant,60
9,loudtttt#2003,909,Radiant,54
10,gbz#FOCO,903,Radiant,70
11,UNIONGuhRVN#ds2,882,Radiant,51
12,pryze#budy,874,Radiant,70
13,Blowz#ntpt,874,Radiant,77
14,axeddy#ihne,865,Radiant,82
15,LEVNeon#expug,864,Radiant,51
17,silenTzJ#mari,836,Radiant,46
18,artz1k4#tete,832,Radiant,52
19,hxnter#ntpt,822,Radiant,54
20,snwziN#awp,821,Radiant,95
21,fooxWETNIKVTSKNI#NTJ,818,Radiant,66
22,cidZzZ#myzzi,807,Radiant,39
23,X6cc#xa6au,807,Radiant,52
24,VKSliazzi#yolo,805,Radiant,63
25,STELLAESiduzord#aktsu,798,Radiant,45
26,shionxy#0000,790,Radiant,55
27,LEVMiradaNinja#mon,788,Radiant,44
28,INHUMANREACTION#6666,788,Radiant,88
29,prince#ntc,787,Radiant,68
30,Will2k#000,779,Radiant,94
31,LOUDcauanzin#2005,777,Radiant,39
32,phc#17y,774,Radiant,91
33,jaozy#cec,773,Radiant,65
34,TwitchBingulz#MURO,766,Radiant,79
35,guuih#seh,763,Radiant,41
36,spike#ayra,763,Radiant,61
37,ErKzRacing#vrum,762,Radiant,47
38,forbanz#sya,759,Radiant,39
39,chase99#2005,754,Radiant,61
40,UNNSTO#240,753,Radiant,80
41,sack#zaum,752,Radiant,58
42,1nizkt#15y,748,Radiant,62
43,STELLAEPalla#aktsu,744,Radiant,39
44,twitchziulfps#7777,743,Radiant,54
45,furqmorcegao#nini,743,Radiant,97
46,v1nNy#s2i,733,Radiant,50
47,PxS#ksz,729,Radiant,42
48,XITskz#tiger,728,Radiant,67
49,LOUDCoreano#LLL,727,Radiant,78
50,lukxo#sccp,726,Radiant,42
