Rank,Player,Rank Rating,Tier,Wins
1,Doma#sumn,"1,112",Radiant,68
2,dimasick#qmE,"1,081",Radiant,71
3,standoff#1821,"1,069",Radiant,54
4,maniek#2005,"1,052",Radiant,100
5,tankzor#6666,"1,049",Radiant,77
6,BBLaimDLL#XxX,"1,045",Radiant,85
7,kicks#BONK,"1,024",Radiant,68
8,GKKheops#Khe,"1,013",Radiant,81
9,BBLAsLanM4shadW#AsLan,"1,008",Radiant,89
10,Z10kaajak#4747,990,Radiant,49
11,FUTMuj#deLy,970,Radiant,130
12,Mercure#LP1,968,Radiant,122
13,SwiFii#palu,960,Radiant,61
14,OXRACHRF#THALA,953,Radiant,76
15,zane#benz,951,Radiant,72
16,YUNGDZIADEK#5030,948,Radiant,63
17,MaximN#7257,947,Radiant,64
18,KILLATHUG64#6464,942,Radiant,43
19,arazin#SSS,941,Radiant,69
20,mober#ZzZ,938,Radiant,75
21,ico#cico,938,Radiant,99
22,GIAnukkye#001,937,Radiant,43
23,NNTuna#EGY,937,Radiant,121
24,PULSARSyze#1234,933,Radiant,81
25,UOLUnfair#1337,924,Radiant,57
26,wezzy#369,924,Radiant,65
27,ZERlux9#999,918,Radiant,52
28,globeX#17yo,916,Radiant,42
29,za9#kzsi,913,Radiant,51
30,Kajuks#1337,911,Radiant,63
31,SAWFizzy#1103,906,Radiant,49
32,S2GpAura#1707,904,Radiant,71
33,d3ffo#1010,902,Radiant,55
34,VITrunneR#1tap,902,Radiant,55
35,ESCPashalime#haha,900,Radiant,82
36,Sayonara#Karel,900,Radiant,84
37,GNGzMART#ALG,896,Radiant,70
38,M80s0pp#1404,895,Radiant,42
39,KOISheydos#777,892,Radiant,62
40,APEKSkeiko#yuki,887,Radiant,41
42,NAVIShao#GOD,877,Radiant,49
43,HereticsAvovA#uwu,871,Radiant,52
44,EPMinny#0000,871,Radiant,64
45,Yassien#15YO,870,Radiant,92
46,echoppa#15yo,870,Radiant,84
47,brk#top1,869,Radiant,52
48,OXJxenp1o#00000,865,Radiant,54
49,FOKUSKPZET#111,861,Radiant,42
50,MARKEZZ#UPW,859,Radiant,55
