Rank,Player,Rank Rating,Tier,Wins
1,curry#66666,"1,114",Radiant,60
2,NaturE#RAT,"1,113",Radiant,63
3,Doma#sumn,"1,112",Radiant,68
4,PRXf0rsakeN#mave,"1,092",Radiant,106
5,M80Zander#swag,"1,088",Radiant,107
6,dimasick#qmE,"1,081",Radiant,71
7,standoff#1821,"1,069",Radiant,54
8,Eggsterr#NJLTC,"1,056",Radiant,88
9,maniek#2005,"1,052",Radiant,100
10,tankzor#6666,"1,049",Radiant,77
11,PRXmonyet#0506,"1,048",Radiant,87
12,BBLaimDLL#XxX,"1,045",Radiant,85
13,s0m#katie,"1,037",Radiant,153
14,DRXRb#VS,"1,032",Radiant,93
15,kicks#BONK,"1,024",Radiant,68
16,GKKheops#Khe,"1,013",Radiant,81
17,canezera#ctina,"1,009",Radiant,53
18,BBLAsLanM4shadW#AsLan,"1,008",Radiant,89
19,G2ShahZaM#joona,"1,007",Radiant,106
20,IMAPROBLEM#FAKER,"1,003",Radiant,78
21,LEVerde#expug,993,Radiant,69
22,Z10kaajak#4747,990,Radiant,49
23,FURIAmwzera#2001,983,Radiant,50
24,free1ng#1124,974,Radiant,68
25,FUTMuj#deLy,970,Radiant,130
26,Mercure#LP1,968,Radiant,122
27,UNIONpancc#vcpnd,961,Radiant,73
27,100TAsuna#1111,961,Radiant,113
29,SwiFii#palu,960,Radiant,61
30,polloesponja#gary,957,Radiant,67
31,7urg#sow,956,Radiant,80
32,OXRACHRF#THALA,953,Radiant,76
33,corey#1313,951,Radiant,76
33,zane#benz,951,Radiant,72
35,PRXJinggg#Jing,948,Radiant,82
35,YUNGDZIADEK#5030,948,Radiant,63
37,grumble#1111,947,Radiant,75
37,MaximN#7257,947,Radiant,64
39,EGJAWGEMO#MOR,944,Radiant,74
39,turtleross#boss,944,Radiant,63
41,V1nosyy#BLIND,943,Radiant,71
41,ange#ratio,943,Radiant,94
43,KILLATHUG64#6464,942,Radiant,43
44,arazin#SSS,941,Radiant,69
45,mober#ZzZ,938,Radiant,75
45,ico#cico,938,Radiant,99
47,GIAnukkye#001,937,Radiant,43
47,NNTuna#EGY,937,Radiant,121
49,BRKADasnerth#TTV,935,Radiant,63
50,PULSARSyze#1234,933,Radiant,81
50,BabyJ#Halo,933,Radiant,130
