Rank,Player,Rank Rating,Tier,Wins
1,김윤승#2006,677,Radiant,45
2,F1orence#MLT,672,Radiant,67
3,당근마켓사기경력23회#띠또,620,Radiant,49
4,계륜딱기다려#1111,571,Radiant,50
5,다현이를위한레디언트계정#현우에오,560,Radiant,60
6,NAVI#소통해요,555,Radiant,29
7,Xeq#1111,516,Radiant,36
9,게임에재능이없는사람#0630,461,Radiant,48
10,kant#9809,460,Radiant,33
12,선규소년은상처받지않아#미친남자,422,Radiant,73
13,DongHwan#1111,420,Radiant,36
14,HalCyon#WIN,417,Radiant,71
15,재은이를위한레디언트계정#0304,407,Radiant,26
16,길로틴초크#KR1,399,Radiant,24
17,PANTO#PANDA,397,Radiant,24
18,NA1TmpAcc46#1015,393,Radiant,37
19,술샷#KR1,384,Radiant,83
20,세균맨#1111,369,Radiant,41
21,PLSr#3239,368,Radiant,38
22,hyeon#ALLU,368,Radiant,38
23,서아를위한레디언트계정#Amueツ,364,Radiant,42
24,TsTJiGun#김진건,360,Radiant,43
26,HanwhaLifeMood#한화라이프,354,Radiant,24
27,오섹남#오섹남53,350,Radiant,29
28,SRGgyeryun#VAMOS,345,Radiant,29
29,한번못해봐#던지게,343,Radiant,29
30,LOUDaspas#AMER,334,Radiant,42
32,묠니르로A컵가슴녀들척살해버리는#나는야쭈쭈,331,Radiant,31
33,DYBMeR#동년배들,328,Radiant,18
34,야인마너인마우리집감자훔쳐먹지마#마마마마마,322,Radiant,21
35,꿈을원해#dream,319,Radiant,14
36,연습#연습,318,Radiant,30
37,Sf1kRznZGd77#XXXXX,317,Radiant,16
39,T1Asp4ce#T1WIN,306,Radiant,36
40,UnKnOWn#6643,304,Radiant,11
41,asdwae#KR1,303,Radiant,38
42,겨울잠#ZZZ,303,Radiant,27
43,LoseT#xxx,302,Radiant,17
45,IlII0lIll#1228,301,Radiant,19
48,CTRLPoint#포인트,292,Radiant,40
49,유튜브우주조종사#우주조종사,289,Radiant,16
50,쪼로야손잘씻자#뮨마너나해,288,Radiant,34
