Rank,Player,Rank Rating,Tier,Wins
1,FGmta#128,932,Radiant,49
2,jvhz#glhf,887,Radiant,52
3,WSS#firxs,863,Radiant,71
4,AKadverso#qwx,783,Radiant,62
5,XSCrazyNY#898,777,Radiant,54
6,EvoLuZionz#iwnl,763,Radiant,60
7,SHOTWELL#miwaa,752,Radiant,70
8,TwicePEEK#gnter,750,Radiant,61
9,LRVNaNoW#Jxpi,745,Radiant,66
11,vaiZ#SSJ,730,Radiant,32
12,chubizinミ#dante,697,Radiant,45
13,nazek#qwx,689,Radiant,85
14,fenNy#COAL,687,Radiant,38
15,badzw#lyr2,685,Radiant,34
16,SUTHER#KAXTZ,685,Radiant,48
17,met0ri#deuS,673,Radiant,32
18,bnja#jaja,662,Radiant,106
19,darky#pixel,652,Radiant,41
20,LEVShyy#dryad,637,Radiant,35
21,LEVMazino#если,625,Radiant,22
22,DanX#Seczo,625,Radiant,82
23,Shinra#qRaxs,607,Radiant,71
24,rex#360hz,606,Radiant,30
25,ZENXuto#xt1,604,Radiant,47
26,COC0CABRA#ganyu,604,Radiant,56
27,oinkoinknezuko#mty,586,Radiant,39
28,AKNicoMachine#ashei,585,Radiant,36
29,ligasa09#igi,584,Radiant,68
30,doraemon1#giane,584,Radiant,66
31,TAGOD#lila,580,Radiant,25
32,UruCombo#0611,570,Radiant,56
33,YibyEz#PSUV,564,Radiant,42
34,kader#1337,560,Radiant,57
35,RBT1kuzohh#iwnl,559,Radiant,31
36,LMAOROFLkodaki#manel,559,Radiant,43
37,RBTKNZY#qwx,556,Radiant,57
38,ERRE#leia,550,Radiant,52
39,UWapu#pedro,549,Radiant,48
40,LucasVade#Vade,541,Radiant,25
41,heavydirtysoul#qwx,540,Radiant,26
42,Ne0#777,540,Radiant,39
43,privateparty#aleko,537,Radiant,53
44,Mesmer#rnd,532,Radiant,28
45,YutaOkkotsu#qwx,529,Radiant,33
46,Diebulls#MKM,526,Radiant,37
47,KRUMelser#nenee,525,Radiant,20
48,KMSenturi#TRJ,523,Radiant,85
49,Sebaaah#enemy,521,Radiant,28
50,Dexxxxxxx#TROLL,521,Radiant,59
