Rank,Player,Rank Rating,Tier,Wins
1,curry#66666,"1,114",Radiant,60
2,NaturE#RAT,"1,113",Radiant,63
3,M80Zander#swag,"1,088",Radiant,107
4,Eggsterr#NJLTC,"1,056",Radiant,88
5,s0m#katie,"1,037",Radiant,153
6,canezera#ctina,"1,009",Radiant,53
7,G2ShahZaM#joona,"1,007",Radiant,106
8,IMAPROBLEM#FAKER,"1,003",Radiant,78
9,100TAsuna#1111,961,Radiant,113
10,7urg#sow,956,Radiant,80
11,corey#1313,951,Radiant,76
12,turtleross#boss,944,Radiant,63
13,V1nosyy#BLIND,943,Radiant,71
14,ange#ratio,943,Radiant,94
15,BRKADasnerth#TTV,935,Radiant,63
16,BabyJ#Halo,933,Radiant,130
17,LFTZINX#10101,932,Radiant,104
18,100Tbang#0000,931,Radiant,73
19,EGJAWGEMO#MOR,927,Radiant,73
20,envys#1010,910,Radiant,64
21,SRv1c#emiru,906,Radiant,48
22,Ali#owbot,902,Radiant,44
23,yay#star,898,Radiant,53
24,OXGverno#yana,897,Radiant,72
25,D0V3S#MOCHA,895,Radiant,80
26,Derrek#100,893,Radiant,59
27,SENjohnqt#21MA,892,Radiant,55
28,MxMbrawcoone#kels,888,Radiant,43
29,SENSacy#moba,888,Radiant,61
30,furbsa#cam,885,Radiant,58
31,OPACWARDELL#OPACD,884,Radiant,54
32,babe#ﾒﾒﾒ,884,Radiant,68
33,JoséRizal#JRizz,878,Radiant,65
34,C9leaf#XITER,877,Radiant,42
35,100TCryo#32122,869,Radiant,51
36,SRmada#4565,868,Radiant,44
37,senz#5193,867,Radiant,46
38,TSMSubroza#4678,863,Radiant,56
39,MxMthief#sof,861,Radiant,51
40,QoRnerve#ncie,859,Radiant,71
41,bdog#858,856,Radiant,49
42,HERO#EASY,856,Radiant,89
43,bigC#sadie,849,Radiant,55
44,MICKNUTTY333#meow,847,Radiant,100
45,PlayboiJoe#777,846,Radiant,56
46,twitchion2x#2009,843,Radiant,50
47,acrian#420,838,Radiant,111
48,C9jakee#julee,837,Radiant,48
49,icy#ncie,831,Radiant,95
50,jwordnttv#sama,830,Radiant,105
